facility,phone number,city,zip code,County Name
 Tennova Healthcare-Clevel,   (423) 339-4281,"  Cleveland, TN", 37312,Bradley County
 Cleveland Imaging,   (423) 553-1234,"  Cleveland, TN", 37311,Bradley County
 Baptist Collierville,   (901) 861-8807,"  Collierville, TN", 38017,Shelby County
 Maury Regional Women's Ce,   (931) 381-1111 x4044,"  Columbia, TN", 38401,Maury County
 Premier Diagnostic Imagin,   (931) 528-1800 x272,"  Cookeville, TN", 38501,Putnam County
 Cookeville Regional Medic,   (931) 783-2468,"  Cookeville, TN", 38501,Putnam County
 Baptist Memorial Hospital,   (901) 475-5333,"  Covington, TN", 38019,Tipton County
 CMC Medical Arts Building,   (931) 459-7040,"  Crossville, TN", 38558,Cumberland County
 Cumberland Medical Center,   (931) 459-7368,"  Crossville, TN", 38555,Cumberland County
 Rhea Medical Center,   (423) 775-8636 x2,"  Dayton, TN", 37321,Rhea County
 Horizon Medical Center db,   (615) 326-2910,"  Dickson, TN", 37055,Dickson County
 Dickson Medical Associate,   (615) 441-4550,"  Dickson, TN", 37055,Dickson County
 West Tennessee Healthcare,   (731) 287-3668,"  Dyersburg, TN", 38024,Dyer County
 Parkridge East Hospital,   (423) 493-1271,"  East Ridge, TN", 37412,Hamilton County
 Medical Care PLLC,   (426) 929-2584 x535,"  Elizabethton, TN", 37643,Carter County
 Ballad Health dba Sycamor,   (423) 542-1289,"  Elizabethton, TN", 37643,Carter County
 Unicoi County Hospital,   (423) 735-4761,"  Erwin, TN", 37650,Unicoi County
 Lincoln Medical Center,   (931) 438-7492,"  Fayetteville, TN", 37334,Lincoln County
 Williamson Imaging LLC db,   (615) 771-8668,"  Franklin, TN", 37067,Williamson County
 Williamson Medical Ctr OP,   (615) 435-5022,"  Franklin, TN", 37067,Williamson County
 Vanderbilt Franklin Women,   (615) 322-2064,"  Franklin, TN", 37067,Williamson County
 Premier Radiology Cool Sp,   (615) 771-0171,"  Franklin, TN", 37067,Williamson County
 Premier Radiology Gallati,   (615) 467-4640,"  Gallatin, TN", 37066,Sumner County
 Imaging for Women at Sumn,   (615) 328-6500,"  Gallatin, TN", 37066,Sumner County
 Diagnostic Ultrasound Con,   (901) 755-5562,"  Germantown, TN", 38138,Shelby County
 McDonald Murrmann Center,   (901) 752-4000,"  Germantown, TN", 38138,Shelby County
 Memphis OBGYN Association,   (901) 755-8696,"  Germantown, TN", 38138,Shelby County
 Margaret West Comprehensi,   (901) 683-0055 x6331,"  Germantown, TN", 38138,Shelby County
 Methodist Comprehensive B,   (901) 516-9000,"  Germantown, TN", 38138,Shelby County
 Women's Health Specialist,   (901) 682-9222,"  Germantown, TN", 38138,Shelby County
 Greeneville Community Hos,   (423) 787-5123,"  Greeneville, TN", 37745,Greene County
 Roane Medical Center,   (865) 316-2304,"  Harriman, TN", 37748,Roane County
 Tristar Women's Imaging a,   (615) 338-1486,"  Hendersonville, TN", 37075,Sumner County
 Premier Radiology Henders,   (615) 986-6050,"  Hendersonville, TN", 37075,Sumner County
 Premier Radiology Hermita,   (615) 884-7674,"  Hermitage, TN", 37076,Davidson County
 TriStar Summit Medical Ce,   (615) 695-7229,"  Hermitage, TN", 37076,Davidson County
 Prime Imaging Hixson,   (423) 206-2514,"  Hixson, TN", 37343,Hamilton County
 MaryEllen Locher Breast C,   (423) 495-4040,"  Hixson, TN", 37343,Hamilton County
 Chattanooga Imaging Hixso,   (423) 643-4711,"  Hixson, TN", 37343,Hamilton County
 Lewis Health Center,   (931) 796-6222,"  Hohenwald, TN", 38462,Lewis County
 Baptist Memorial Hospital,   (731) 986-7252,"  Huntingdon, TN", 38344,Carroll County
 West Tennessee Healthcare,   (731) 661-2140 x1,"  Jackson, TN", 38305,Madison County
 West Tennessee Imaging Ce,   (731) 541-8301,"  Jackson, TN", 38301,Madison County
 The Jackson Clinic North,   (731) 422-0213 x3609,"  Jackson, TN", 38305,Madison County
 Pink Ribbon Mammography,   (731) 422-4642,"  Jackson, TN", 38301,Madison County
 Parkridge West Hospital,   (423) 837-9445,"  Jasper, TN", 37347,Marion County
" Jefferson County HMA, LLC",   (865) 471-2650,"  Jefferson City, TN", 37760,Jefferson County
 Summit Diagnostic Imaging,   (865) 588-8005,"  Jefferson City, TN", 37760,Jefferson County
 Women's Health & Imaging,   (423) 979-3888,"  Johnson City, TN", 37604, Washington County
 Outpatient Diagnostic Cen,   (423) 461-2150,"  Johnson City, TN", 37604, Washington County
" Medical Care, PLLC",   (423) 431-0315,"  Johnson City, TN", 37601, Washington County
 State of Franklin Healthc,   (423) 202-6347,"  Johnson City, TN", 37604, Washington County
 Johnson City Community He,   (423) 929-6937,"  Johnson City, TN", 37604, Washington County
 Outpatient Diagnostic Cen,   (423) 857-2800,"  Kingsport, TN", 37660,Sullivan county
 Women's Diagnostic Center,   (423) 431-1709,"  Kingsport, TN", 37660,Sullivan county
 Ballad Health Coach - MOB,   (423) 723-6877,"  Kingsport, TN", 37660,Sullivan county
 Comprehensive Breast Cent,   (423) 224-5312,"  Kingsport, TN", 37660,Sullivan county
 Abercrombie Radiological,   (865) 584-3444,"  Knoxville, TN", 37909,Knox County
 University Breast Center,   (865) 305-9729,"  Knoxville, TN", 37920,Knox County
 University Breast Center,   (865) 305-8850,"  Knoxville, TN", 37920,Knox County
 University Breast Center,   (865) 305-9069,"  Knoxville, TN", 37922,Knox County
 Thompson Comprehensive Br,   (865) 331-1624,"  Knoxville, TN", 37916,Knox County
 Mosaic Breast Imaging,   (865) 281-5960,"  Knoxville, TN", 37909,Knox County
 Summit Diagnostic Imaging,   (865) 531-9457,"  Knoxville, TN", 37923,Knox County
 Summit Diagnostic Imaging,   (865) 688-8993,"  Knoxville, TN", 37918,Knox County
 Summit Diagnostic Imaging,   (865) 583-4526,"  Knoxville, TN", 37919,Knox County
 Tennova Women's Imaging C,   (865) 545-7771,"  Knoxville, TN", 37934,Knox County
 Tennova Ambulatory Care C,   (865) 545-7771,"  Knoxville, TN", 37920,Knox County
 Parkwest Comprehensive Br,   (865) 373-7010,"  Knoxville, TN", 37923,Knox County
 Knoxville Comprehensive B,   (865) 584-0291,"  Knoxville, TN", 37909,Knox County
 Knoxville West Center for,   (865) 531-5878,"  Knoxville, TN", 37923,Knox County
 Fort Sanders Obstetrical,   (865) 524-3208,"  Knoxville, TN", 37916,Knox County
 Covenant Health Diagnosti,   (865) 531-5400,"  Knoxville, TN", 37922,Knox County
 Macon Community Hospital,   (615) 688-7909,"  Lafayette, TN", 37083,Macon County
" Campbell County HMA, LLC",   (423) 907-1200 x1422,"  LaFollette, TN", 37766,Campbell County
 Southern Tennessee Region,   (931) 766-3100,"  Lawrenceburg, TN", 38464,Lawrence County
 Summit Imaging at Lebanon,   (615) 695-7229,"  Lebanon, TN", 37087,Wilson County
 Vanderbilt Wilson County,   (615) 449-8621,"  Lebanon, TN", 37087,Wilson County
 Fort Loudoun Medical Cent,   (865) 271-6070,"  Lenoir City, TN", 37772,Loudon County
 Marshall Medical Center,   (931) 359-6241 x3642,"  Lewisburg, TN", 37091,Marshall County
 Henderson Co Community Ho,   (731) 968-1812,"  Lexington, TN", 38351,Henderson County
 Livingston Regional Hospi,   (931) 403-2333,"  Livingston, TN", 38570,Overton County
 Premier Radiology Briarvi,   (615) 884-7674 x3008,"  Madison, TN", 37115,Davidson County
 Unity Medical Center,   (931) 450-1105,"  Manchester, TN", 37355,Coffee County
 WTH Volunteer Hospital,   (731) 588-3224,"  Martin, TN", 38237,Weakley County
" Tennessee Breast Center,",   (865) 984-9282,"  Maryville, TN", 37804,Blount County
 Blount Breast Health Cent,   (865) 977-5590,"  Maryville, TN", 37804,Blount County
 Baptist Memorial Hospital,   (731) 393-7044,"  McKenzie, TN", 38201,Carroll County
 Saint Thomas River Park H,   (931) 815-4485,"  McMinnville, TN", 37110, Warren County
 Women's Care Center of Me,   (901) 763-2212,"  Memphis, TN", 38120,Shelby County
 St. Francis Hospital Wome,   (901) 765-3279,"  Memphis, TN", 38119,Shelby County
 Baptist Memorial Hospital,   (901) 227-7465,"  Memphis, TN", 38120,Shelby County
 Baptist Womens Health Cen,   (901) 227-7465,"  Memphis, TN", 38120,Shelby County
 Sanitas Crosstown,   (786) 860-4741,"  Memphis, TN", 38104,Shelby County
 Regional One Health,   (901) 545-7228,"  Memphis, TN", 38103,Shelby County
 Park Avenue Diagnostic Ce,   (901) 767-0505,"  Memphis, TN", 38119,Shelby County
 Methodist Diagnostic Cent,   (901) 516-9000,"  Memphis, TN", 38104,Shelby County
 Methodist Hospital - Sout,   (901) 516-3056,"  Memphis, TN", 38116,Shelby County
 Methodist Hospital North,   (901) 516-9000,"  Memphis, TN", 38128,Shelby County
 Regional One Health East,   (901) 515-3610,"  Memphis, TN", 38119,Shelby County
" Memphis Health Center, In",   (901) 261-7384,"  Memphis, TN", 38126,Shelby County
 Memphis OB-GYN Associates,   (901) 767-8442,"  Memphis, TN", 38120,Shelby County
 Diagnostic Ultrasound Con,   (901) 346-3058,"  Memphis, TN", 38116,Shelby County
 Diagnostic Imaging Memphi,   (901) 387-2340 x1010,"  Memphis, TN", 38119,Shelby County
 Diagnostic Ultrasound Con,   (901) 516-8970,"  Memphis, TN", 38104,Shelby County
 Lifesigns Prevention Grou,   (901) 685-5520 x1223,"  Memphis, TN", 38120,Shelby County
 Milan General Hospital,   (731) 686-5100,"  Milan, TN", 38358,Gibson County
" HealthStar Physicians, P.",   (423) 586-4545,"  Morristown, TN", 37813,Hamblen County
 MHHS dba Morristown Regio,   (423) 492-9001,"  Morristown, TN", 37814,Hamblen County
 Johnson County Community,   (423) 727-1101,"  Mountain City, TN", 37683,Johnson County
 Heritage Medical Associat,   (629) 255-3303,"  Mt Juliet, TN", 37122,Wilson County
 Premier Radiology Mt. Jul,   (615) 773-7237,"  Mt Juliet, TN", 37122,Wilson County
 Summit Imaging Center in,   (615) 514-6460,"  Mt.Juliet, TN", 37122,Wilson County
 RAYUS Radiology,   (615) 890-8999,"  Murfreesboro, TN", 37130,Rutherford County
 Premier Radiology New Sal,   (615) 986-6055,"  Murfreesboro, TN", 37128,Rutherford County
 Murfreesboro Medical Clin,   (615) 867-8150,"  Murfreesboro, TN", 37129,Rutherford County
 Sanitas Medical Center of,   (615) 551-2606 x2901,"  Murfreesboro, TN", 37129,Rutherford County
 Middle Tennessee Imaging,   (615) 896-1234 x3325,"  Murfreesboro, TN", 37129,Rutherford County
 Meharry Med. College Ctr,   (615) 963-3133,"  Nashville, TN", 37208,Davidson County
 One Hundred Oaks Imaging,   (615) 936-3606,"  Nashville, TN", 37204,Davidson County
 Nashville General Hospita,   (615) 341-4181,"  Nashville, TN", 37208,Davidson County
 Premier Radiology Women's,   (615) 356-3999 x1170,"  Nashville, TN", 37203,Davidson County
 Premier Radiology Nashvil,   (615) 329-4840,"  Nashville, TN", 37203,Davidson County
 Premier Radiology Lenox V,   (615) 986-7026,"  Nashville, TN", 37211,Davidson County
 Premier Radiology Green H,   (615) 467-1045,"  Nashville, TN", 37215,Davidson County
 St Thomas Medical Partner,   (615) 284-6266,"  Nashville, TN", 37211,Davidson County
 Premier Radiology Belle M,   (615) 356-3999,"  Nashville, TN", 37205,Davidson County
 Premier Radiology Bellevu,   (615) 986-5993,"  Nashville, TN", 37221,Davidson County
 Vanderbilt Breast Center,   (615) 322-8651,"  Nashville, TN", 37232,Davidson County
 St. Thomas West Hospital,   (615) 222-3456,"  Nashville, TN", 37202,Davidson County
 St.Thomas Midtown Hospita,   (615) 284-5000,"  Nashville, TN", 37203,Davidson County
 Vanderbilt Health One Hun,   (615) 322-2064,"  Nashville, TN", 37204,Davidson County
 Outpatient Diagnostic Cen,   (615) 327-1500,"  Nashville, TN", 37203,Davidson County
 Tristar Southern Hills Me,   (615) 695-7226,"  Nashville, TN", 37211,Davidson County
 Solis Mammography At Skyl,   (615) 769-2507,"  Nashville, TN", 37207,Davidson County
 Heritage Medical Associat,   (629) 255-3303,"  Nashville, TN", 37203,Davidson County
 Heritage Medical Associat,   (629) 255-3303,"  Nashville, TN", 37205,Davidson County
 HCA Health Srv of TN Inc,   (615) 342-5006,"  Nashville, TN", 37203,Davidson County
 Matthew Walker Comprehens,   (615) 340-1285,"  Nashville, TN", 37208,Davidson County
 Newport Medical Center,   (423) 625-2191,"  Newport, TN", 37821,Cocke County
 Oak Ridge Breast Ctr a di,   (865) 835-3760,"  Oak Ridge, TN", 37830,Anderson County; Roane County
 Big South Fork Medical Ce,   (423) 286-5311,"  Oneida, TN", 37841,Scott County
 MaryEllen Locher Breast I,   (423) 495-4040,"  Ooltewah, TN", 37363,Hamilton County
 Chattanooga Imaging Oolte,   (423) 553-1234,"  Ooltewah, TN", 37363,Hamilton County
 Henry County Diagnostic C,   (731) 644-8486,"  Paris, TN", 38242,Henry County
 Erlanger Bledsoe Hospital,   (423) 447-5311,"  Pikeville, TN", 37367,Bledsoe County
 Vanderbilt Health at Plea,   (615) 322-2064,"  Pleasant View, TN", 37146,Cheatham County
 Tennova Women's Ctr Nor,   (865) 859-7089,"  Powell, TN", 37849,Knox County
 Southern Tennessee Region,   (931) 363-9314 x9313,"  Pulaski, TN", 38478,Giles County
 Ballad Health Hawkins Cou,   (423) 921-7240,"  Rogersville, TN", 37857,Hawkins County
 Hardin Medical Center,   (731) 926-8161,"  Savannah, TN", 38372,Hardin County
 Prime Care Medical Center,   (731) 645-7932,"  Selmer, TN", 38375,McNairy County
 LeConte Medical Center,   (865) 446-8000,"  Sevierville, TN", 37862,Sevier County
 Vanderbilt Bedford Hospit,   (931) 685-8305,"  Shelbyville, TN", 37160,Bedford County
 Saint Thomas DeKalb Hospi,   (615) 215-5530 x5530,"  Smithville, TN", 37166,DeKalb County
 Solis Mammography at Ston,   (615) 768-2368,"  Smyrna, TN", 37167,Rutherford County
 RAYUS Radiology,   (615) 890-8999,"  Smyrna, TN", 37167,Rutherford County
 Premier Radiology Smyrna,   (615) 220-0674,"  Smyrna, TN", 37167,Rutherford County
 Saint Thomas Highlands Ho,   (931) 738-4173,"  Sparta, TN", 38583,White County
 Spring Hill Imaging Cente,   (931) 486-3425,"  Spring Hill, TN", 37174,Williamson County
 TriStar Northcrest Medica,   (615) 382-6068,"  Springfield, TN", 37172,Robertson County
 Sweetwater Hospital Assoc,   (865) 213-8427,"  Sweetwater, TN", 37874,Monroe County
 Claiborne Medical Center,   (423) 526-2370,"  Tazewell, TN", 37879,Claiborne County
 Tullahoma Imaging D/B/A C,   (931) 454-9002,"  Tullahoma, TN", 37388,Coffee county
 Vanderbilt Coffee Hospita,   (931) 461-4800,"  Tullahoma, TN", 37388,Coffee county
 Baptist Memorial Hospital,   (731) 884-8550 x8553,"  Union City, TN", 38261,Obion County
 Ascension Saint Thomas Th,   (931) 296-0298,"  Waverly, TN", 37185,Humphreys County
 Wayne Medical Center,   (931) 722-5411 x2060,"  Waynesboro, TN", 38485,Wayne County
 Woman's Center of STRHS-W,   (931) 967-8258,"  Winchester, TN", 37398,Franklin County
 Saint Thomas Stones River,   (615) 563-7229,"  Woodbury, TN", 37190,Cannon County
