County, FIPS,Met Healthy People Objective of 15.3?,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000",Lower CI (Rate),Upper CI (Rate),CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Greene County,47059,Yes,15,10.7,20.8,68,26,69,8,falling,-1.6,-3.2,-0.1
Roane County,47145,Yes,14.6,10.1,20.9,69,26,69,7,stable,-1.5,-3.2,0.1
Benton County,47005,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Bledsoe County,47007,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Cannon County,47015,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Clay County,47027,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Decatur County,47039,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Fentress County,47049,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Grainger County,47057,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Hancock County,47067,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Haywood County,47075,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Houston County,47083,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Jackson County,47087,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Johnson County,47091,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Lake County,47095,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Lewis County,47101,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Macon County,47111,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Meigs County,47121,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Moore County,47127,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Perry County,47135,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Pickett County,47137,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Polk County,47139,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Sequatchie County,47153,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Smith County,47159,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Stewart County,47161,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Trousdale County,47169,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Van Buren County,47175,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Wayne County,47181,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
